#{"t_start": 1628125012.0210338, "env_id": "SlimeVolleySurvivalNoFrameskip-v0"}
r,l,t
3.18,718,1378.713356
1.11,611,1380.952359
-0.47,453,1385.141585
1.17,517,1387.00118
-0.27,473,1388.772345
0.34,534,1390.737805
-0.32,468,1392.456378
2.54,654,1394.875546
1.64,664,1397.383387
-0.44,456,1399.071908
0.4,540,1401.132715
-0.06,494,1402.977771
1.99,699,1405.641715
1.06,606,1407.895159
0.63,563,1410.005471
-0.04,496,1411.870001
2.57,657,1414.264687
0.68,568,1416.427129
0.48,548,1418.491532
1.08,608,1420.755173
0.79,579,1425.611136
-0.41,459,1427.380738
1.4,640,1429.746902
4.28,928,1433.206913
0.42,542,1435.235181
0.73,573,1437.379362
2.96,696,1439.944522
1.16,616,1442.234352
1.8,680,1444.769692
0.03,503,1446.655058
0.59,559,1448.766119
0.37,537,1450.767994
0.01,501,1452.631722
2.16,716,1455.252748
1.55,655,1457.703719
0.18,518,1459.591221
0.59,559,1464.189433
1.48,648,1466.63611
2.38,738,1469.317478
1.56,656,1471.744082
3.11,711,1474.353804
1.45,645,1476.755442
2.33,633,1479.128223
0.69,569,1481.298357
-0.03,497,1483.140903
-0.17,483,1484.937398
-0.02,498,1486.837719
0.66,566,1488.945194
2.18,718,1491.633749
0.13,513,1493.526913
1.37,637,1495.867207
-0.16,484,1497.672095
2.19,619,1499.960546
1.98,698,1505.001769
1.03,603,1507.261486
0.63,563,1509.36918
-1.25,375,1510.733997
1.15,615,1512.953657
0.74,574,1515.057724
0.1,510,1516.952579
0.83,583,1519.111318
0.57,557,1521.190386
1.46,646,1523.606145
1.27,627,1525.890627
-0.54,446,1527.550239
0.9,590,1529.666893
0.52,552,1531.643913
-0.46,454,1533.294137
1.92,692,1535.83732
0.13,513,1537.724708
3.79,779,1542.997694
1.59,659,1545.395016
0.86,586,1547.529214
0.14,514,1549.412321
0.99,599,1551.600265
-0.92,408,1553.11798
1.04,604,1555.368894
2.11,711,1557.976291
2.81,681,1560.526471
-0.66,434,1562.119781
0.28,528,1564.058405
0.66,566,1566.12162
2.17,717,1568.762851
-0.45,455,1570.436914
1.5,650,1572.813768
-0.73,427,1574.370763
0.22,522,1576.310084
0.61,561,1578.362464
0.64,564,1582.924259
0.19,519,1584.823889
1.3,630,1587.156713
-0.13,487,1588.934397
1.93,693,1591.465907
1.81,681,1593.946608
1.33,633,1596.260177
0.16,516,1598.164036
2.69,769,1601.040503
-0.23,477,1602.757074
0.28,528,1604.732909
2.31,731,1607.456922
-0.84,416,1609.017244
0.36,536,1610.992576
0.51,551,1613.027778
0.9,590,1615.196645
1.93,693,1617.717547
0.64,564,1622.210565
1.91,591,1624.420629
-0.68,432,1626.009604
0.36,536,1627.975677
0.69,569,1630.060591
1.46,646,1632.444632
0.25,525,1634.321043
0.42,542,1636.33671
1.44,644,1638.659577
1.64,664,1641.112178
1.15,615,1643.387582
-0.24,476,1645.128257
3.02,702,1647.680161
4.05,805,1650.68661
0.4,540,1652.679865
0.21,521,1654.567066
0.0,500,1656.421453
1.56,656,1661.308717
3.3,730,1664.001431
0.26,526,1665.90495
0.14,514,1667.731996
0.01,501,1669.604936
0.33,533,1671.620423
0.6,560,1673.662404
2.69,669,1676.116396
0.24,524,1678.083098
2.33,733,1680.819978
-0.11,489,1682.639935
2.1,710,1685.255883
2.08,708,1687.837956
-0.76,424,1689.362221
-0.18,482,1691.150007
-0.21,479,1692.904979
-0.12,488,1694.724505
-1.01,399,1696.20033
4.28,728,1701.268708
0.44,544,1703.260156
1.05,605,1705.546763
1.05,605,1707.741179
1.36,636,1710.027681
3.72,772,1712.835974
-0.31,469,1714.555469
0.87,587,1716.749655
0.79,579,1718.877624
0.45,545,1720.886718
-1.01,399,1722.34598
0.57,557,1724.419852
0.16,516,1726.312929
0.45,545,1728.28773
0.77,577,1730.41086
0.48,548,1732.370562
-0.02,498,1734.196406
1.76,676,1739.11108
1.66,666,1741.616895
0.65,565,1743.722039
0.65,565,1745.773261
-0.11,489,1747.586129
1.38,638,1749.876889
-0.92,408,1751.400411
0.05,505,1753.2394
2.36,736,1755.936054
1.62,662,1758.393456
4.5,850,1761.546307
0.44,544,1763.564409
-0.38,462,1765.280956
-0.39,461,1766.984693
-0.66,434,1768.597477
1.13,613,1770.850749
0.87,587,1773.030965
0.38,538,1774.996273
5.51,951,1780.860095
-0.01,499,1782.656008
0.9,590,1784.856068
0.52,552,1786.901394
3.27,727,1789.558049
2.56,756,1792.305539
1.15,615,1794.58607
4.38,838,1797.658346
-0.01,499,1799.491445
1.09,609,1801.719299
0.57,557,1803.813865
0.57,557,1805.872406
0.56,556,1807.895148
0.09,509,1809.752721
1.67,667,1812.219077
