#{"t_start": 1627866007.343853, "env_id": "SlimeVolley-v0"}
r,l,t
-5,542,567.84691
-4,802,568.791883
-5,469,569.331921
-5,868,570.381715
-5,434,570.975294
-4,772,571.888066
-5,615,572.557851
-5,541,573.175221
-4,857,574.157148
-5,494,574.736205
-5,574,575.463457
-5,633,576.278272
-5,573,576.962838
-5,737,577.898961
-5,490,578.531389
-5,565,579.149593
-5,497,579.71523
-5,412,580.319525
-5,637,581.080526
-5,557,581.729436
-5,653,582.496464
-4,647,583.24442
-5,608,583.921742
-5,686,584.761674
-5,839,585.787308
-5,558,586.495842
-5,825,587.491375
-5,860,588.521653
-5,658,589.348145
-4,596,590.079989
-5,424,590.59067
-5,692,591.473753
-5,553,592.147045
-4,601,592.828295
-5,1051,594.021855
-5,463,594.573076
-5,831,595.712184
-4,682,596.608629
-5,495,597.203033
-5,545,597.829607
-5,626,598.565928
-5,398,599.015473
-5,743,599.921149
-5,547,600.645963
-4,613,601.579853
-4,833,602.515957
-5,860,603.73875
-5,530,604.434455
-5,509,605.096658
-5,672,606.008532
-5,497,606.552617
-5,793,607.517631
-5,543,608.192043
-5,567,608.918584
-5,499,609.580453
-5,960,610.817511
-5,577,611.539138
-4,697,612.337593
-5,660,613.06057
-5,616,613.834073
-5,561,614.473666
-5,536,615.055907
-5,537,615.696592
-4,650,616.439895
-5,925,617.538188
-5,589,618.225902
-5,936,619.392458
-5,631,620.219853
-5,468,620.7725
-4,708,621.624846
-4,820,622.53277
-5,632,623.247627
-5,447,623.813052
-5,504,624.3871
-5,508,624.967443
-5,495,625.557996
-5,482,634.140856
-5,710,645.975319
-5,590,655.810092
-5,638,666.442636
-5,453,673.993979
-4,812,687.525091
-5,479,695.50713
-5,692,707.042415
-5,630,717.544948
-5,663,728.592655
-5,674,729.313623
-5,603,729.951008
-4,997,731.030121
-5,810,731.881269
-5,523,732.392202
-5,567,732.938114
-5,448,733.347401
-5,671,733.998034
-4,670,734.747543
-5,508,735.2704
-4,842,736.093959
-5,483,736.579813
-5,658,737.234364
-5,599,737.815838
-5,588,738.467249
-5,520,739.012728
-5,678,739.716567
-5,500,740.190297
-5,656,740.909904
-5,532,741.442732
-5,845,742.335991
-5,611,743.038193
-5,556,743.632603
-5,412,744.085711
-5,514,744.644602
-5,542,745.259604
-5,566,745.893304
-5,369,746.339136
-5,523,746.962845
-4,967,748.098117
-5,487,748.670359
-5,544,749.290446
-5,749,750.147549
-5,503,750.747466
-5,584,751.460002
-5,869,752.482562
-5,588,753.116306
-5,663,753.857508
-5,604,754.530185
-5,554,755.145072
-3,681,755.924303
-5,513,756.539761
-5,534,757.098904
-5,457,757.552624
-5,450,758.022478
-5,723,758.795386
-3,774,759.689234
-5,783,760.633291
-5,553,761.305367
-4,764,762.204952
-5,483,762.746829
-5,509,763.371355
-5,455,763.954555
-5,503,764.499922
-5,667,765.25236
-5,428,765.78237
-5,776,766.68085
-5,502,767.241555
-5,902,768.282408
-5,431,768.803186
-5,598,769.57767
-5,698,770.506824
-5,496,771.129402
-5,561,771.819469
-5,426,772.33695
-5,468,772.859215
-4,529,773.4653
-5,681,774.368356
-5,579,775.001518
-5,486,775.595199
-5,637,776.299668
-5,551,776.947288
-5,487,777.556774
-5,507,778.219862
-5,640,778.969198
-5,575,779.673117
-5,569,780.40677
-5,499,781.02162
-5,655,781.754254
-4,479,782.365279
-5,564,783.024581
-5,563,783.743552
-5,611,784.461286
-5,434,784.966737
-5,737,785.905075
-4,583,786.549891
-5,544,787.184922
-5,478,787.763793
-5,731,788.638019
-5,863,789.632932
-5,440,790.199989
-5,592,790.868354
-5,530,791.484491
-5,485,792.06046
-4,580,792.781105
-5,814,793.827073
-5,737,794.689657
-5,516,795.2781
-5,645,796.084673
-5,623,796.760741
-5,627,797.512555
-5,511,798.123044
-5,897,799.115318
-5,680,799.92858
-5,622,800.658149
-5,572,801.400194
-5,524,802.013786
-5,718,802.917506
-5,520,803.545415
-4,602,804.375777
-5,566,805.04725
-5,676,805.884463
-5,545,806.625688
-4,1076,807.903665
-5,612,808.620787
-5,785,809.62921
-5,786,810.62369
-5,704,811.425554
-5,607,812.141212
-5,464,812.694419
-3,830,813.642259
-5,554,814.287016
-5,615,815.054026
-5,490,815.585373
-5,699,816.425923
-5,592,817.085779
-5,637,817.832515
-5,666,818.599761
-5,771,819.575356
-5,455,820.055617
-5,569,820.717268
-5,757,821.568965
-5,566,822.212634
-5,633,822.948234
-5,613,823.655449
-5,445,824.182584
-5,685,824.971643
-5,535,825.652794
-5,491,826.238157
-5,791,827.339226
-5,627,828.103317
-5,597,828.806253
-5,647,829.555559
-5,606,830.285056
-5,736,831.174225
-5,717,832.065405
-5,492,832.687321
-3,783,833.660039
-5,434,834.209371
-5,854,835.258629
-5,787,836.243729
-5,549,836.977763
-5,828,837.854496
-5,499,838.369989
-5,590,838.987501
-5,445,839.533963
-4,811,840.532032
-5,811,841.432853
-5,604,842.205483
-4,616,842.962543
-5,573,843.640961
-4,895,844.750698
-5,540,845.347248
-5,532,845.934386
-4,546,846.614028
-5,584,847.273795
-5,665,848.101101
-5,674,848.866814
-5,483,849.438961
-5,476,849.99129
-5,411,850.493292
-5,533,851.025285
-5,494,851.549689
-5,606,852.220046
-4,796,853.131253
-5,481,853.656428
-5,885,854.6559
-5,683,855.48799
-5,545,856.084464
-4,528,856.669765
-5,584,857.345928
-5,545,857.875686
-5,691,858.594253
-5,680,859.285193
-5,751,860.100918
-5,592,860.711007
-4,644,861.40893
-5,559,861.978938
-5,670,862.704582
-5,412,863.145146
-5,727,863.94089
-5,770,864.761319
-5,381,865.240841
-5,977,866.375695
-5,466,866.859647
-5,553,867.444785
-5,882,868.362269
-4,629,869.021688
-5,494,869.530274
-4,815,870.444891
-5,477,870.961337
-5,491,871.46034
-5,486,871.966166
-4,623,872.679651
-5,680,873.431351
-5,497,873.986499
-5,591,874.657994
-4,743,875.45488
-4,641,876.241834
-5,626,876.930491
-5,620,877.586131
-5,523,878.159523
-5,545,878.825107
-5,723,879.584894
-5,853,880.628053
-5,786,881.457295
-5,808,882.30078
-5,431,882.816527
-5,609,883.560797
-5,513,884.112454
-5,543,884.721104
-5,483,885.278928
-5,438,885.863117
-5,501,886.521255
-5,713,887.351834
